あいかわらず,あいかわらず,as ever
アイデア,あいであ,idea
あいまい,あいまい,vague
遭う,あう,to meet
扇ぐ,あおぐ,to fan
青白い,あおじろい,pale
あかんぼう,あかんぼう,baby
明き,あき,room
あきれる,あきれる,to be amazed
アクセント,あくせんと,accent
あくび,あくび,yawn
飽くまで,あくまで,to the end
明け方,あけがた,dawn
揚げる,あげる,to lift
挙げる,あげる,to raise
あげる ,あげる ,to do for
憧れる,あこがれる,to long for
足跡,あしあと,footprints
味わう,あじわう,to taste
預かる,あずかる,to keep in custody
暖まる,あたたまる,to warm up
暖める,あたためる,to warm
あたりまえ,あたりまえ,usual
あちらこちら,あちらこちら,here and there
厚かましい,あつかましい,impudent
圧縮,あっしゅく,compression
宛名,あてな,address
あてはまる,あてはまる,to be applicable
あてはめる,あてはめる,to apply
暴れる,あばれる,to act violently
脂,あぶら,fat
あぶる,あぶる,to scorch
あふれる,あふれる,to flood
雨戸,あまど,sliding storm door
甘やかす,あまやかす,to pamper
余る,あまる,to remain
編物,あみもの,knitting
編む,あむ,to knit
危うい,あやうい,dangerous
怪しい,あやしい,suspicious
荒い,あらい,rough
粗い,あらい,coarse
あらすじ,あらすじ,outline
争う,あらそう,to dispute
改めて,あらためて,another time
改める,あらためる,to change
著す,あらわす,to write
有難い,ありがたい,grateful
在る,ある,to live
あれこれ,あれこれ,one thing or another
あわただしい,あわただしい,busy
あわてる,あわてる,to become confused
安易,あんい,easy-going
案外,あんがい,unexpectedly
アンテナ,あんてな,antenna
言い出す,いいだす,to start talking
言い付ける,いいつける,to tell
意義,いぎ,meaning
生き生き,いきいき,vividly
育児,いくじ,childcare
幾分,いくぶん,somewhat
以後,いご,after this
以降,いこう,on and after
イコール,いこーる,equal
勇ましい,いさましい,brave
衣食住,いしょくじゅう,necessities of life 
意地悪,いじわる,malicious
いちいち,いちいち,one by one
一応,いちおう,once
一段と,いちだんと,greater
一流,いちりゅう,first class
佚,いつ,be lost
一昨日,いっさくじつ,day before yesterday
一昨年,いっさくねん,year before last
一斉,いっせい,simultaneous
一旦,いったん,once
一定,いってい,fixed
いつのまにか,いつのまにか,before one knows
移転,いてん,moving
井戸,いど,water well
緯度,いど,latitude 
従姉妹,いとこ,cousin 
威張る,いばる,to be proud
嫌がる,いやがる,to hate
いよいよ,いよいよ,more and more
煎る,いる,to parch
入れ物,いれもの,container
インキ,いんき,ink
インタビュー,いんたびゅー,interview
引力,いんりょく,gravity
ウーマン,うーまん,woman
ウール,うーる,wool
ウエートレス,うえーとれす,waitress
植木,うえき,garden shrubs
飢える,うえる,to starve
浮ぶ,うかぶ,to float
浮かべる,うかべる,to float
浮く,うく,to float
受取,うけとり,receipt
受け持つ,うけもつ,to take 
薄暗い,うすぐらい,dim
薄める,うすめる,to dilute
打合せ,うちあわせ,business meeting
打ち消す,うちけす,to deny
討つ,うつ,to attack
うっかり,うっかり,carelessly
映す,うつす,to project
写る,うつる,to be photographed
映る,うつる,to be reflected
うどん,うどん,noodles 
有無,うむ,yes or no
埋める,うめる,to bury
敬う,うやまう,to show respect
裏返す,うらがえす,to turn inside out
裏口,うらぐち,backdoor
占う,うらなう,to forecast
恨み,うらみ,resentment
恨む,うらむ,to curse
羨ましい,うらやましい,envious
羨む,うらやむ,to envy
売上,うりあげ,amount sold
売り切れ,うりきれ,sold-out
売り切れる,うりきれる,to be sold out
売行き,うれゆき,sales
うろうろ,うろうろ,loiteringly
運河,うんが,canal
うんと,うんと,a great deal
英文,えいぶん,sentence in English
英和,えいわ,English-Japanese 
ええと,ええと,let me see
液体,えきたい,liquid
エチケット,えちけっと,etiquette
絵の具,えのぐ,colors
エプロン,えぷろん,apron
偉い,えらい,great
宴会,えんかい,party
園芸,えんげい,horticulture
演劇,えんげき,play 
円周,えんしゅう,circumference
遠足,えんそく,trip
延長,えんちょう,extension
煙突,えんとつ,chimney
追い掛ける,おいかける,to chase or run after someone
追い越す,おいこす,to pass 
オイル,おいる,oil
応援,おうえん,aid
王女,おうじょ,princess
応ずる,おうずる,to answer
応接,おうせつ,reception
応対,おうたい,receiving
欧米,おうべい,Europe and America
応用,おうよう,application
オーケストラ,おーけすとら,orchestra
おおざっぱ,おおざっぱ,rough 
大通り,おおどおり,main street
オートメーション,おーとめーしょん,automation
大凡,おおよそ,about
お帰り,おかえり,return
おかげさまで,おかげさまで,Thanks to god
おかず,おかず,side dish
拝む,おがむ,to worship
お代わり,おかわり,second helping
補う,おぎなう,to compensate for
屋外,おくがい,outdoors
送り仮名,おくりがな,part of word written in kana
怠る,おこたる,to neglect
押える,おさえる,to stop
おさきに,おさきに,before
納める,おさめる,to obtain
惜しい,おしい,regrettable
御辞儀,おじぎ,bow
伯父さん,おじさん,middle-aged gentleman
小父さん,おじさん,middle-aged gentleman
叔父さん,おじさん,middle-aged gentleman
おしゃれ,おしゃれ,smartly dressed
おじゃまします,おじゃまします,Excuse me for disturbing you
教わる,おそわる,to be taught
おだいじに,おだいじに,Take care of yourself
落着く,おちつく,to calm down
御手洗,おてあらい,font of purifying water placed at entrance of shrine
お手伝いさん,おてつだいさん,maid
おどかす,おどかす,to threaten
落し物,おとしもの,lost property
おととい,おととい,day before yesterday
おととし,おととし,year before last
おとなしい,おとなしい,obedient
驚かす,おどろかす,to surprise
おねがいします,おねがいします,please
各々,おのおの,each
お参り,おまいり,worship
おまたせしました,おまたせしました,Sorry to have kept you waiting
おまちください,おまちください,Please wait a moment
おまちどおさま,おまちどおさま,Sorry to have kept you waiting
おめでたい,おめでたい,happy event
思い掛けない,おもいがけない,unexpected
思い込む,おもいこむ,to be under impression that
思い付く,おもいつく,to think of
重たい,おもたい,heavy
親指,おやゆび,thumb
オルガン,おるがん,organ
卸す,おろす,to sell wholesale
恩恵,おんけい,grace
温室,おんしつ,greenhouse
温泉,おんせん,spa
温帯,おんたい,temperate zone
御中,おんちゅう,and Company
女の人,おんなのひと,woman
蚊,か,mosquito
貝,かい,shell
開会,かいかい,opening of a meeting
会館,かいかん,meeting hall
改札,かいさつ,examination of tickets
