嗚呼,ああ,Ah!
凝らす,こごらす,to freeze
凝る,こごる,to congeal
拵える,こしらえる,to make
孤児,こじ,orphan
拗れる,こじれる,to get complicated
故人,こじん,the deceased
梢,こずえ,treetop
個性,こせい,individuality
戸籍,こせき,census
小銭,こぜに,coins
固体,こたい,solid 
答え,こたえ,answer
堪える,こたえる,to bear
火燵,こたつ,table with heater
古代,こだい,ancient times
こだわる,こだわる,to fuss over
誇張,こちょう,exaggeration
滑稽,こっけい,funny
国交,こっこう,diplomatic relations
骨董品,こっとうひん,curio
骨,こつ,knack
固定,こてい,fixation
事柄,ことがら,matter
悉く,ことごとく,altogether
言伝,ことづて,declaration
殊に,ことに,especially
事によると,ことによると,depending on the circumstances
孤独,こどく,isolation
粉々,こなごな,in very small pieces
此の,この,this
この間,このあいだ,the other day
この頃,このごろ,recently
好ましい,このましい,nice
個別,こべつ,particular case
零す,こぼす,to spill
零れる,こぼれる,to overflow
細やか,こまやか,friendly
混む,こむ,to be crowded
込める,こめる,to include
篭る,こもる,to seclude oneself
固有,こゆう,characteristic
雇用,こよう,employment 
暦,こよみ,calendar
堪える,こらえる,to bear
孤立,こりつ,isolation
懲りる,こりる,to learn by experience
此れ,これ,this
此れ等,これら,these
魂,こん,soul
根気,こんき,patience
根拠,こんきょ,basis
混血,こんけつ,mixed race
昆虫,こんちゅう,insect
根底,こんてい,root
混同,こんどう,confusion
今日は,こんにちは,hello
今晩は,こんばんは,good evening
根本,こんぽん,origin
御,ご,go-
語彙,ごい,vocabulary
濠,ごう,moat
業,ごう,Buddhist karma
号,ごう,number
合意,ごうい,agreement
合議,ごうぎ,consultation
強気,ごうぎ,great
合成,ごうせい,synthesis
護衛,ごえい,guard
語句,ごく,words
極楽,ごくらく,paradise
ご苦労様,ごくろうさま,Thank you very much for your....
語源,ごげん,word root
誤差,ごさ,error
ご座います,ございます,to be 
ご馳走,ごちそう,feast
ご馳走さま,ごちそうさま,feast
毎,ごと,each respectively
碁盤,ごばん,Go board
ご無沙汰,ごぶさた,not writing or contacting for a while
誤魔化す,ごまかす,to deceive
御免ください,ごめんください,May I come in?
御免なさい,ごめんなさい,I beg your pardon
佐,さ,help
再,さい,re-
差異,さい,difference
再会,さいかい,another meeting
災害,さいがい,calamity
細菌,さいきん,bacillus
細工,さいく,work
採掘,さいくつ,mining
採決,さいけつ,vote
再建,さいけん,rebuilding
再現,さいげん,reappearance
採算,さいさん,profit
採集,さいしゅう,collecting
再生,さいせい,playback
最善,さいぜん,the very best
採択,さいたく,adoption
再発,さいはつ,return
栽培,さいばい,cultivation
細胞,さいぼう,cell 
採用,さいよう,use
遮る,さえぎる,to interrupt
囀る,さえずる,to sing
冴える,さえる,to be clear
竿,さお,rod
栄える,さかえる,to prosper
杯,さかずき,wine cups
逆立ち,さかだち,handstand
逆上る,さかのぼる,to go back
盛る,さかる,to prosper
差額,さがく,balance
下がる,さがる,to hang down
一昨昨日,さきおととい,two days before yesterday
先に,さきに,before
詐欺,さぎ,fraud
作,さく,a work
策,さく,plan
柵,さく,fence
削減,さくげん,cut
錯誤,さくご,mistake
作戦,さくせん,military or naval operations
作物,さくぶつ,literary work
叫び,さけび,shout
裂ける,さける,to split
捧げる,ささげる,to lift up
差し掛かる,さしかかる,to come near to
指図,さしず,instruction
差し出す,さしだす,to present
差し支える,さしつかえる,to interfere
差し引く,さしひく,to deduct
些事,さじ,something small or petty
授ける,さずける,to grant
嘸,さぞ,I am sure
定まる,さだまる,to become settled
定める,さだめる,to decide
錯覚,さっかく,optical illusion
早急,さっきゅう,urgent
察する,さっする,to guess
さっと,さっと,quickly
冊,さつ,counter for books
殺人,さつじん,murder
偖,さて,well
悟る,さとる,to attain enlightenment
真実,さな,truth
裁く,さばく,to judge
錆び,さび,rust 
様,さま,Mr. or Mrs.
三味線,さみせん,three-stringed Japanese guitar
侍,さむらい,Samurai
然も,さも,with gusto
作用,さよう,action
左様なら,さようなら,good-bye
拐う,さらう,to carry off
爽やか,さわやか,fresh
障る,さわる,to hinder
酸,さん,acid
さん,さん,Mr or Mrs
酸化,さんか,oxidation
山岳,さんがく,mountains
産休,さんきゅう,maternity leave
桟橋,さんきょう,wharf
参議院,さんぎいん,House of Councillors
産後,さんご,postpartum
産出,さんしゅつ,yield
参照,さんしょう,reference
参上,さんじょう,calling on
賛成,さんせい,approval
賛美,さんび,praise
産婦人科,さんふじんか,maternity and gynecology department
産物,さんぶつ,product
山腹,さんぷく,hillside
山脈,さんみゃく,mountain range
財,ざい,fortune
財源,ざいげん,source of funds
在庫,ざいこ,stockpile
財政,ざいせい,economy
座談会,ざだんかい,symposium
雑貨,ざっか,miscellaneous goods
雑,ざつ,rough
雑談,ざつだん,chatting
雑木,ざつぼく,various kinds of small trees
座標,ざひょう,coordinate
残金,ざんきん,remaining money
残酷,ざんこく,cruelty
死,し,death
し,し,10^24 
次,し,order
仕上がり,しあがり,finish
仕上げ,しあげ,end
仕上げる,しあげる,to finish up
明々後日,しあさって,two days after tomorrow
飼育,しいく,breeding
強いて,しいて,by force
強いる,しいる,to force
仕入れる,しいれる,to lay in stock
しいんと,しいんと,silent 
歯科,しか,dentistry
資格,しかく,qualifications
視覚,しかく,sense of sight
仕掛け,しかけ,device
仕掛ける,しかける,to commence
然し,しかし,however
然しながら,しかしながら,nevertheless
而も,しかも,moreover
市街,しがい,urban areas
指揮,しき,command
色彩,しきさい,colour
式場,しきじょう,ceremonial hall
為来り,しきたり,customs
頻りに,しきりに,frequently
仕切る,しきる,to partition
資金,しきん,funds
施行,しぎょう,1. execution
しくじる,しくじる,to fail
仕組み,しくみ,devising
死刑,しけい,death penalty
湿気る,しける,to be damp
思考,しこう,thought
志向,しこう,intention
嗜好,しこう,taste
視察,しさつ,inspection
資産,しさん,property
刺繍,ししゅう,embroidery
支持,しじ,support
指示,しじ,indication
雫,しずく,drop 
沈める,しずめる,to sink
施設,しせつ,institution
子息,しそく,son
慕う,したう,to yearn for
従って,したがって,therefore
下心,したごころ,secret intention
親しむ,したしむ,to be intimate with
下調べ,したしらべ,preliminary investigation
下地,したじ,groundwork
認める,したためる,to write up
仕立てる,したてる,to tailor
下取り,したどり,trade in
下火,したび,burning low
失格,しっかく,disqualification
確り,しっかり,firmly
質素,しっそ,simplicity
失調,しっちょう,lack of harmony
嫉妬,しっと,jealousy
尻尾,しっぽ,tail 
室,しつ,room
質疑,しつぎ,question
躾,しつけ,home discipline
仕付ける,しつける,to be used to a job
指摘,してき,pointing out
視点,してん,opinion
萎びる,しなびる,to wilt
嫋か,しなやか,supple
屎尿,しにょう,excreta
凌ぐ,しのぐ,to outdo
始発,しはつ,first train
芝,しば,lawn
屡,しばしば,often
暫く,しばらく,little while
痺れる,しびれる,to become numb
渋い,しぶい,1. tasteful 
私物,しぶつ,private property
しぶとい,しぶとい,tenacious
司法,しほう,administration of justice
脂肪,しぼう,fat
志望,しぼう,wish
萎む,しぼむ,to wither
仕舞,しまい,end
仕舞う,しまう,to finish
しまった,しまった,Damn it!
始末,しまつ,management
泌み泌み,しみじみ,keenly
染みる,しみる,to pierce
使命,しめい,mission
締め切り,しめきり,closing
僕,しもべ,manservant
社交,しゃこう,social life
謝絶,しゃぜつ,refusal
社宅,しゃたく,company owned house
吃逆,しゃっくり,hiccough
喋る,しゃべる,to talk
斜面,しゃめん,slope
洒落,しゃらく,frank
洒落る,しゃれる,to joke
視野,しや,field of vision
種,しゅ,kind
衆,しゅう,masses
周,しゅう,circuit
収益,しゅうえき,earnings
修学,しゅうがく,learning
周期,しゅうき,cycle
衆議院,しゅうぎいん,Lower House
就業,しゅうぎょう,employment
修行,しゅうぎょう,pursuit of knowledge
集計,しゅうけい,totalization
襲撃,しゅうげき,attack
収支,しゅうし,income and expenditure
終始,しゅうし,beginning and end
修士,しゅうし,Masters degree program
収集,しゅうしゅう,gathering up
修飾,しゅうしょく,ornamentation
終日,しゅうじつ,all day
執着,しゅうじゃく,attachment
収容,しゅうよう,accommodation
修了,しゅうりょう,completion 
守衛,しゅえい,security guard
主演,しゅえん,starring
主観,しゅかん,subjectivity
祝賀,しゅくが,celebration
宿命,しゅくめい,fate
主権,しゅけん,sovereignty
手芸,しゅげい,handicrafts
主催,しゅさい,organization
取材,しゅざい,choice of subject
趣旨,しゅし,object
主食,しゅしょく,staple food
主人公,しゅじんこう,protagonist
主体,しゅたい,subject
主題,しゅだい,subject
出血,しゅっけつ,bleeding
出社,しゅっしゃ,arrival 
出生,しゅっしょう,birth
出世,しゅっせ,promotion
出費,しゅっぴ,expenses
出品,しゅっぴん,exhibit
出演,しゅつえん,performance
出題,しゅつだい,proposing a question
出動,しゅつどう,sailing
主導,しゅどう,main leadership
主任,しゅにん,person in charge
首脳,しゅのう,head
守備,しゅび,defense
手法,しゅほう,technique
私有,しゆう,private ownership
諸,しょ,various
背負う,しょう,to be burdened with
象,しょう,phenomenon
症,しょう,illness
傷,しょう,wound
商,しょう,quotient
消去,しょうきょ,elimination
衝撃,しょうげき,shock
証言,しょうげん,evidence
証拠,しょうこ,evidence
消耗,しょうこう,exhaustion
照合,しょうごう,collation
詳細,しょうさい,detail
昇進,しょうしん,promotion
少数,しょうすう,minority
称する,しょうする,to pretend
消息,しょうそく,news
承諾,しょうだく,consent
象徴,しょうちょう,symbol
小児科,しょうにか,pediatrics
証人,しょうにん,witness
照明,しょうめい,illumination
勝利,しょうり,victory
奨励,しょうれい,encouragement
職員,しょくいん,staff member
植民地,しょくみんち,colony
職務,しょくむ,professional duties
諸君,しょくん,Gentlemen!
所在,しょざい,whereabouts
所々,しょしょ,here and there
所持,しょじ,possession
所属,しょぞく,attached to
処置,しょち,treatment
しょっちゅう,しょっちゅう,always
所定,しょてい,fixed
所得,しょとく,income
初版,しょはん,first edition
処罰,しょばつ,punishment
書評,しょひょう,book review
処分,しょぶん,disposal
庶民,しょみん,masses
庶務,しょむ,general affairs
私用,しよう,personal use
仕様,しよう,way
使用人,しようにん,employee
調べ,しらべ,preparation
知り合い,しりあい,acquaintance
退く,しりぞく,to retreat
退ける,しりぞける,to repel
記す,しるす,to note
指令,しれい,orders
代,しろ,price
皺,しわ,wrinkles
新,しん,new
進化,しんか,evolution
殿,しんがり,rear
審議,しんぎ,deliberation
進行,しんこう,advance
新興,しんこう,rising
振興,しんこう,promotion
申告,しんこく,report
新婚,しんこん,newly-wed
審査,しんさ,judging
紳士,しんし,gentleman
進出,しんしゅつ,advance
信者,しんじゃ,believer
真珠,しんじゅ,pearl
心中,しんじゅう,double suicide
心情,しんじょう,mentality
新人,しんじん,new face
神聖,しんせい,holiness
親善,しんぜん,friendship
真相,しんそう,truth
新築,しんちく,new building
進呈,しんてい,presentation
進展,しんてん,progress
神殿,しんでん,temple
進度,しんど,progress
振動,しんどう,oscillation
新入生,しんにゅうせい,freshman
信任,しんにん,trust
審判,しんばん,refereeing
神秘,しんぴ,mystery
辛抱,しんぼう,patience
真理,しんり,truth
侵略,しんりゃく,aggression
診療,しんりょう,medical examination and treatment
進路,しんろ,course
自覚,じかく,self-conscious
地方,じかた,area
自我,じが,self
磁気,じき,magnetism
磁器,じき,porcelain
事業,じぎょう,project
地形,じぎょう,terrain
軸,じく,axis
自己,じこ,self
事項,じこう,matter
時刻表,じこくひょう,table
地獄,じごく,hell
時差,じさ,time difference
自在,じざい,freely
自主,じしゅ,independence
自首,じしゅ,surrender
辞職,じしょく,resignation
自信,じしん,self-confidence
事前,じぜん,prior
自尊心,じそんしん,self-respect
持続,じぞく,continuation
字体,じたい,type
辞退,じたい,refusal
じっくり,じっくり,deliberately
実質,じっしつ,substance
実践,じっせん,practice
実態,じったい,truth
実費,じっぴ,actual expense
十分,じっぷん,10 minutes
実,じつ,truth
実業家,じつぎょうか,industrialist
実情,じつじょう,real condition
自転,じてん,rotation
自動詞,じどうし,intransitive verb 
地主,じぬし,landlord
耳鼻科,じびか,otolaryngology
地元,じもと,local
弱,じゃく,weakness
若干,じゃっかん,some
砂利,じゃり,gravel
じゃん拳,じゃんけん,rock-scissors-paper game
住,じゅう,dwelling
従業員,じゅうぎょういん,employee
従事,じゅうじ,engaging
充実,じゅうじつ,fullness
十字路,じゅうじろ,crossroads
絨毯,じゅうたん,carpet
柔軟,じゅうなん,flexible
重複,じゅうふく,duplication
重宝,じゅうほう,priceless treasure
従来,じゅうらい,up to now
塾,じゅく,coaching school
樹木,じゅもく,trees and shrubs
樹立,じゅりつ,establish
準急,じゅんきゅう,local express 
準じる,じゅんじる,to follow
準ずる,じゅんずる,to apply correspondingly
助,じょ,help
情,じょう,feelings
尉,じょう,jailer
嬢,じょう,young woman
状,じょう,shape
上位,じょうい,superior 
上演,じょうえん,performance 
城下,じょうか,land near the castle
乗客,じょうかく,passenger
上空,じょうくう,sky
上司,じょうし,superior authorities
情緒,じょうしょ,emotion
上昇,じょうしょう,rising
情勢,じょうせい,state of things
情熱,じょうねつ,passion
丈夫,じょうふ,1. hero
譲歩,じょうほ,concession
条約,じょうやく,treaty
上陸,じょうりく,landing
蒸留,じょうりゅう,distillation
除外,じょがい,exception
助言,じょげん,advice
徐行,じょこう,going slowly
女史,じょし,Ms.
助詞,じょし,particle
助動詞,じょどうし,auxiliary verb
自立,じりつ,independence
人,じん,man
人格,じんかく,personality
人材,じんざい,man of talent
迅速,じんそく,quick
人体,じんたい,human body
人民,じんみん,people
人目,じんもく,glimpse
水気,すいき,1. moisture
水源,すいげん,source of river
推進,すいしん,propulsion
水洗,すいせん,flushing
吹奏,すいそう,playing wind instruments
推測,すいそく,guess
推理,すいり,reasoning
数詞,すうし,numeral
崇拝,すうはい,worship
据え付ける,すえつける,to install
据える,すえる,to set 
清々しい,すがすがしい,fresh
過ぎ,すぎ,past
救い,すくい,help
掬う,すくう,to scoop
少なくとも,すくなくとも,at least
直ぐ,すぐ,immediately
健やか,すこやか,vigorous
濯ぐ,すすぐ,to rinse
進み,すすみ,progress
勧め,すすめ,recommendation
廃れる,すたれる,to go out of use
酸っぱい,すっぱい,sour
素敵,すてき,lovely
即ち,すなわち,that is
すばしこい,すばしこい,nimble
素早い,すばやい,fast
済ます,すます,to finish
澄ます,すます,to clear
済まない,すまない,sorry 
済みません,すみません,sorry
天皇,すめらぎ,Emperor of Japan
刷り,すり,printing
剃る,する,to shave
擦れ違い,すれちがい,chance encounter
すれ違う,すれちがう,to pass by one another
擦れる,すれる,to rub
すんなり,すんなり,pass with no objection
図々しい,ずうずうしい,impudent
ずばり,ずばり,decisively
ずぶ濡れ,ずぶぬれ,soaked
ずらっと,ずらっと,in a line
ずるずる,ずるずる,sound or act of dragging
ずれ,ずれ,gap
ずれる,ずれる,to slide
制,せい,system
製,せい,-made
生育,せいいく,growth
成果,せいか,results
正解,せいかい,correct
正規,せいき,regular
正義,せいぎ,justice
生計,せいけい,livelihood
政権,せいけん,administration
精巧,せいこう,elaborate
制裁,せいさい,restraint
政策,せいさく,political measures
清算,せいさん,liquidation
星座,せいざ,constellation
生死,せいし,life and death
静止,せいし,stillness
青春,せいしゅん,youth
聖書,せいしょ,Bible
誠実,せいじつ,sincere
成熟,せいじゅく,maturity
清純,せいじゅん,purity
正常,せいじょう,normalcy
制する,せいする,to control
整然,せいぜん,orderly
盛装,せいそう,be dressed up
盛大,せいだい,grand
清濁,せいだく,good and evil
制定,せいてい,enactment
静的,せいてき,static
製鉄,せいてつ,iron manufacture
晴天,せいてん,fine weather
正当,せいとう,just
成年,せいねん,majority
制服,せいふく,uniform
征服,せいふく,conquest
製法,せいほう,manufacturing method
精密,せいみつ,precise
声明,せいめい,declaration
姓名,せいめい,full name
制約,せいやく,limitation
生理,せいり,physiology
勢力,せいりょく,influence
整列,せいれつ,stand in a row
急かす,せかす,to hurry
伜,せがれ,son
責務,せきむ,duty
世辞,せじ,flattery
世帯,せたい,household
世代,せだい,generation
切開,せっかい,clearing 
接触,せっしょく,touch
設置,せっち,establishment
折衷,せっちゅう,compromise
設定,せってい,establishment
説得,せっとく,persuasion
節,せつ,node
切実,せつじつ,compelling
接続詞,せつぞくし,conjunction
切ない,せつない,painful
設立,せつりつ,establishment
攻め,せめ,attack
世論,せろん,public opinion
仙,せん,hermit
前,せん,before
繊維,せんい,fibre
選挙,せんきょ,election
宣教,せんきょう,religious mission
宣言,せんげん,declaration
先行,せんこう,preceding
選考,せんこう,selection
戦災,せんさい,war damage
専修,せんしゅう,specialization
戦術,せんじゅつ,tactics
潜水,せんすい,diving
先先月,せんせんげつ,month before last
先先週,せんせんしゅう,week before last
先代,せんだい,family predecessor
先だって,せんだって,recently
先着,せんちゃく,first arrival
先天的,せんてんてき,a priori
戦闘,せんとう,battle
潜入,せんにゅう,infiltration
船舶,せんぱく,ship
専用,せんよう,exclusive use
占領,せんりょう,occupation
戦力,せんりょく,war potential
税務署,ぜいむしょ,tax office
是正,ぜせい,correction
絶版,ぜっぱん,out of print
絶望,ぜつぼう,despair
是非とも,ぜひとも,by all means 
禅,ぜん,Zen 
全快,ぜんかい,complete recovery of health
全盛,ぜんせい,height of prosperity
前提,ぜんてい,preamble
前途,ぜんと,future prospects
全滅,ぜんめつ,annihilation
善良,ぜんりょう,goodness
前例,ぜんれい,precedent
僧,そう,monk
沿う,そう,to run along
添う,そう,to accompany
総,そう,whole
相応,そうおう,suitability
総会,そうかい,general meeting
創刊,そうかん,launching 
送金,そうきん,remittance
走行,そうこう,running a wheeled vehicle 
総合,そうごう,synthesis
捜査,そうさ,search 
捜索,そうさく,search 
然うして,そうして,and
装飾,そうしょく,ornament
操縦,そうじゅう,management
創造,そうぞう,creation
壮大,そうだい,magnificent
騒動,そうどう,strife
遭難,そうなん,disaster
相場,そうば,market price
装備,そうび,equipment
創立,そうりつ,establishment
添える,そえる,to add to
即座に,そくざに,immediately
促進,そくしん,promotion
即する,そくする,to conform to
束縛,そくばく,restraint
側面,そくめん,side
其処,そこ,that place
其処で,そこで,so 
損なう,そこなう,to harm
其処ら,そこら,everywhere
素材,そざい,raw materials
阻止,そし,obstruction
然して,そして,and
訴訟,そしょう,litigation
育ち,そだち,breeding
措置,そち,measure
其方,そちら,over there
素っ気ない,そっけない,cold
率直,そっちょく,frankness
外方,そっぽ,look 
備え付ける,そなえつける,to provide
備わる,そなわる,to be furnished with
園,その,garden
その上,そのうえ,in addition
その内,そのうち,eventually
その為,そのため,hence
その外,そのほか,besides
其の儘,そのまま,without change
聳える,そびえる,to rise
素朴,そぼく,simplicity
染まる,そまる,to dye
背く,そむく,to run counter to
染める,そめる,to dye
逸らす,そらす,to turn away
反り,そり,warp
其れ,それ,it
其れから,それから,and then
各々,それぞれ,each
其れで,それで,and 
其れでは,それでは,in that situation
其れでも,それでも,but 
其れ共,それとも,or
其れに,それに,besides
其れ程,それほど,to that degree
其れ故,それゆえ,therefore
揃い,そろい,set
徐々,そろそろ,gradually
損失,そんしつ,loss
存続,そんぞく,duration
沿い,ぞい,along
像,ぞう,statue
増強,ぞうきょう,augment
蔵相,ぞうしょう,Minister of Finance
増進,ぞうしん,promoting
ぞんざい,ぞんざい,rude
他意,たい,ill will
対応,たいおう,interaction
退化,たいか,degeneration
体格,たいかく,physique
大概,たいがい,in general
退学,たいがく,dropping out of school
大金,たいきん,great cost
待遇,たいぐう,treatment
対決,たいけつ,confrontation
体験,たいけん,personal experience
対抗,たいこう,opposition
対して,たいして,for
大衆,たいしゅう,general public
対処,たいしょ,deal with
退職,たいしょく,retirement 
退治,たいじ,extermination
態勢,たいせい,attitude
対談,たいだん,talk
対等,たいとう,equivalent
滞納,たいのう,non-payment
対比,たいひ,contrast
大部,たいぶ,most 
待望,たいぼう,expectant waiting
怠慢,たいまん,negligence
対面,たいめん,interview
対立,たいりつ,confrontation
体力,たいりょく,physical strength
対話,たいわ,interactive
耐える,たえる,to bear
絶える,たえる,to die out
堪える,たえる,to bear
高,たか,quantity
高まる,たかまる,to rise
沢山,たくさん,many
逞しい,たくましい,burly
巧み,たくみ,skill
類,たぐい,a kind
丈,たけ,height
足し算,たしざん,addition
多数決,たすうけつ,majority rule
助け,たすけ,assistance
携わる,たずさわる,to participate
漂う,ただよう,to drift about
館,たち,1. mansion
立方,たちかた,dancing 
忽ち,たちまち,at once
立ち寄る,たちよる,to stop by
達者,たっしゃ,skillful
達成,たっせい,achievement
たった,たった,only
尊い,たっとい,precious
貴い,たっとい,precious
尊ぶ,たっとぶ,to value
絶つ,たつ,to sever
盾,たて,shield
建前,たてまえ,face
奉る,たてまつる,to offer
例え,たとえ,example
仮令,たとえ,example
他動詞,たどうし,transitive verb 
辿り着く,たどりつく,to grope along to
辿る,たどる,to follow 
掌,たなごころ,the palm
楽しむ,たのしむ,to enjoy oneself
頼み,たのみ,request
度々,たびたび,often
他方,たほう,another side
多忙,たぼう,busy
給う,たまう,to receive
偶に,たまに,occasionally
堪らない,たまらない,intolerable
溜まり,たまり,collected things
賜る,たまわる,to grant
例,ためし,instance
躊躇う,ためらう,to hesitate
保つ,たもつ,to keep
容易い,たやすい,easy
多様,たよう,diversity
弛み,たるみ,slack
弛む,たるむ,to slacken
誰,たれ,adjectival suffix for a person
垂れる,たれる,to hang
歎,たん,grief
反,たん,roll of cloth 
単一,たんいつ,single
短歌,たんか,tanka
担架,たんか,stretcher
短気,たんき,quick temper
探検,たんけん,exploration
短縮,たんしゅく,shortening
箪笥,たんす,chest of drawers
炭素,たんそ,carbon 
短大,たんだい,junior college
単調,たんちょう,monotony
単独,たんどく,sole
短波,たんぱ,short wave
蛋白質,たんぱくしつ,protein
第,だい,ordinal
第一,だいいち,first
大胆,だいたん,bold
台無し,だいなし,mess
大便,だいべん,feces
代弁,だいべん,pay by proxy
台本,だいほん,libretto
代用,だいよう,substitution
打開,だかい,break in the deadlock
妥協,だきょう,compromise
丈,だけ,only
妥結,だけつ,agreement
打撃,だげき,1. blow
駄作,ださく,poor work
脱出,だっしゅつ,escape
脱する,だっする,to escape from
脱退,だったい,secession
だぶだぶ,だぶだぶ,loose
騙す,だます,to trick
だらけ,だらけ,implying 
怠い,だるい,sluggish
壇,だん,1. platform
団結,だんけつ,unity
断言,だんげん,declaration
断然,だんぜん,firmly
段々,だんだん,gradually
旦那,だんな,master 
断面,だんめん,cross section
弾力,だんりょく,elasticity
治安,ちあん,public order
近付く,ちかづく,to approach
違える,ちがえる,to change
契る,ちぎる,to pledge
畜産,ちくさん,animal husbandry
畜生,ちくしょう,beast
蓄積,ちくせき,accumulation
知性,ちせい,intelligence
乳,ちち,milk
父母,ちちはは,father and mother
縮まる,ちぢまる,to be shortened
窒息,ちっそく,suffocation
些とも,ちっとも,not at all 
秩序,ちつじょ,order
知的,ちてき,intellectual
著,ちゃく,counter for suits of clothing
着,ちゃく,counter for suits of clothing
着手,ちゃくしゅ,embarkation
着色,ちゃくしょく,colouring
着席,ちゃくせき,sit down
着目,ちゃくもく,attention
着陸,ちゃくりく,landing
着工,ちゃっこう,start of 
茶の間,ちゃのま,living room 
茶の湯,ちゃのゆ,tea ceremony
ちやほや,ちやほや,pamper
昼間,ちゅうかん,daytime
宙返り,ちゅうがえり,somersault
中継,ちゅうけい,relay
忠告,ちゅうこく,advice
中指,ちゅうし,middle finger
中傷,ちゅうしょう,slander
忠実,ちゅうじつ,fidelity
中枢,ちゅうすう,centre
抽選,ちゅうせん,lottery
中断,ちゅうだん,interruption
中腹,ちゅうっぱら,irritated
中毒,ちゅうどく,poisoning
仲人,ちゅうにん,go-between
昼飯,ちゅうはん,lunch
中立,ちゅうりつ,neutrality
中和,ちゅうわ,neutralize
腸,ちょう,guts
蝶,ちょう,butterfly
超,ちょう,super-
庁,ちょう,government office
調印,ちょういん,signature
聴覚,ちょうかく,the sense of hearing
長官,ちょうかん,chief
聴講,ちょうこう,lecture attendance
徴収,ちょうしゅう,collection
聴診器,ちょうしんき,stethoscope
挑戦,ちょうせん,challenge
長大,ちょうだい,very long
調停,ちょうてい,arbitration
恰度,ちょうど,just
長編,ちょうへん,long 
丁目,ちょうめ,district of a town
調理,ちょうり,cooking
調和,ちょうわ,harmony
ちょくちょく,ちょくちょく,often
直面,ちょくめん,confrontation
著書,ちょしょ,literary work
貯蓄,ちょちく,savings
直感,ちょっかん,intuition
著名,ちょめい,well-known
ちらっと,ちらっと,at a glance
塵取り,ちりとり,dustpan
治療,ちりょう,medical treatment
賃金,ちんぎん,wages
沈殿,ちんでん,precipitation
沈没,ちんぼつ,sinking
沈黙,ちんもく,silence
陳列,ちんれつ,exhibition
追及,ついきゅう,gaining on
追跡,ついせき,pursuit
次いで,ついで,next
追放,ついほう,exile
費やす,ついやす,to spend
墜落,ついらく,falling
通,つう,connoisseur
痛感,つうかん,feeling keenly
通常,つうじょう,common
痛切,つうせつ,keen
杖,つえ,cane
遣い,つかい,mission
使い道,つかいみち,use
仕える,つかえる,to serve
司る,つかさどる,to rule
束の間,つかのま,moment
付き,つき,attached to
付き合う,つきあう,to associate with
月並み,つきなみ,every month
尽きる,つきる,to be used up
継ぎ目,つぎめ,a joint
吐く,つく,1. to breathe
尽くす,つくす,to exhaust
作り,つくり,make-up
造り,つくり,make up
造る,つくる,to make
繕う,つくろう,to mend
接ぐ,つぐ,to join
継ぐ,つぐ,to succeed
付け加える,つけくわえる,to add one thing to another
告げる,つげる,to inform
辻褄,つじつま,coherence
途中,つちゅう,on the way
突っ張る,つっぱる,to support
筒,つつ,pipe
銃,つつ,gun
突く,つつく,1. to thrust
慎む,つつしむ,to be careful
伝言,つてごと,verbal message
勤まる,つとまる,to be fit for
勤め先,つとめさき,place of work
努めて,つとめて,make an effort!
津波,つなみ,tsunami
抓る,つねる,to pinch
募る,つのる,to invite
唾,つば,saliva
呟く,つぶやく,to mutter
瞑る,つぶる,to close the eyes
壷,つぼ,tsubo jar
蕾,つぼみ,bud
躓く,つまずく,to stumble
摘む,つまむ,to pinch
詰らない,つまらない,insignificant
詰まり,つまり,in short
積もり,つもり,intention
露,つゆ,dew
強まる,つよまる,to get strong
強める,つよめる,to strengthen
連なる,つらなる,to extend
貫く,つらぬく,to go through
連ねる,つらねる,to link
釣り,つり,fishing
吊り革,つりかわ,strap
釣鐘,つりがね,hanging bell
吊るす,つるす,to hang
手当て,てあて,allowance
体,てい,appearance
提供,ていきょう,offer
定義,ていぎ,definition
提携,ていけい,cooperation
体裁,ていさい,decency
梯子,ていし,ladder
定食,ていしょく,set meal
提示,ていじ,presentation
訂正,ていせい,correction
停滞,ていたい,stagnation
邸宅,ていたく,mansion
定年,ていねん,retirement age
堤防,ていぼう,bank
手遅れ,ておくれ,too late
手数,てかず,number of moves
手掛かり,てがかり,contact
手掛ける,てがける,to handle
手軽,てがる,easy
的,てき,-like
適応,てきおう,adaptation
適宜,てきぎ,suitability
適性,てきせい,aptitude
手際,てぎわ,performance
手順,てじゅん,process
手錠,てじょう,handcuffs
手近,てぢか,near
てっきり,てっきり,surely
鉄鋼,てっこう,iron and steel
徹する,てっする,to sink in
鉄片,てっぺん,iron scraps
手配,てはい,arrangement
手筈,てはず,arrangement
手引き,てびき,guidance
手本,てほん,model
手回し,てまわし,preparations
手元,てもと,on hand
照り返す,てりかえす,to reflect
手分け,てわけ,division of labour
店,てん,store
点火,てんか,ignition
転回,てんかい,revolution
転換,てんかん,convert
転居,てんきょ,moving
転勤,てんきん,transfer
点検,てんけん,inspection
転校,てんこう,change schools
天国,てんごく,paradise
天才,てんさい,genius
天災,てんさい,natural calamity
展示,てんじ,exhibition
天井,てんじょう,ceiling
転じる,てんじる,to turn
点線,てんせん,dotted line
天体,てんたい,heavenly body
転転,てんてん,rolling about
転任,てんにん,change of post
展望,てんぼう,view
転落,てんらく,fall
出合う,であう,to meet by chance
出入り口,でいりぐち,exit and entrance
でかい,でかい,huge
出来物,できもの,able man
出切る,できる,to be out of
出くわす,でくわす,to happen to meet
